source,target,weight
PPARA,SERPINE1,0
PPARA,SERPINE1,2
PPARA,NFKBIA,0
PPARA,NFKBIA,2
PPARA,STAT5A,2
PPARG,BCL2,0
PPARG,BCL2,1
PPARG,MMP9,1
PPARG,SERPINE1,2
PPARG,CEBPA,2
PPARG,CIITA,0
PPARG,CIITA,1
PPARG,MYC,1
PURA,ERBB2,2
PURA,AR,1
RB1,BIRC5,2
RB1,ATF2,2
RB1,ELF1,2
RB1,MYC,1
RB1,MYC,2
RB1,PPARG,2
RBMX,EGR1,1
RBMX,FOS,1
RBMX,FOS,1
RBMX,JUND,1
RELA,BCL2,0
RELA,BCL2,1
RELA,BCL2,2
RELA,BIRC5,0
RELA,BIRC5,2
RELA,CXCL12,0
RELA,MMP9,0
RELA,MMP9,1
RELA,MMP9,2
RELA,SERPINE1,0
RELA,SERPINE1,1
RELA,ELF3,2
RELA,EPAS1,0
RELA,HDAC7,2
RELA,IRF1,0
RELA,IRF1,2
RELA,MYC,0
RELA,MYC,1
RELA,MYC,2
RELA,NCOR1,2
RELA,NFKBIA,0
RELA,NFKBIA,1
RELA,NFKBIA,2
RELA,PPARA,2
RELA,SIRT1,0
RELA,STAT1,2
RELA,STAT3,2
RELA,TBP,0
RELA,TBP,2
RELA,TWIST1,0
RELA,WT1,2
RELA,YY1,1
RELA,YY1,2
RUNX2,SNAI2,0
RUNX3,MMP9,1
RUNX3,ING4,0
RUNX3,MYC,1
RUNX3,TCF4,0
SATB1,BCL2,0
SATB1,BCL2,2
SATB1,GATA3,0
SIM2,BCL2,1
SIRT1,MMP9,1
SIRT1,PER1,0
SIRT1,TP73,2
SMAD2,BCL2,2
SMAD2,AHR,2
SMAD2,GLI1,2
SMAD3,MMP9,1
SMAD3,SERPINE1,0
SMAD3,SERPINE1,2
SMAD4,BCL2,2
SMAD4,SERPINE1,0
SMAD4,AHR,2
SMAD4,DACH1,1
SMAD4,GLI1,2
SMAD4,MYC,2
SNAI2,CXCL12,0
SNAI2,MMP9,0
SP1,BCL2,2
SP1,BIRC5,2
SP1,ERBB2,0
SP1,ID4,1
SP1,KRT19,0
SP1,KRT5,0
SP1,MMP9,0
SP1,MMP9,2
SP1,SERPINE1,0
SP1,SERPINE1,2
SP1,AHR,1
SP1,ATF2,2
SP1,DDB2,2
SP1,ELF4,0
SP1,GATA3,2
SP1,KLF8,2
SP1,LMO4,2
SP1,MTA1,0
SP1,MYC,2
SP1,MYCN,0
SP1,MYCN,1
SP1,MYCN,2
SP1,NF1,2
SP1,NFKB1,0
SP1,NR4A1,2
SP1,RELA,0
SP1,RELA,2
SP1,SIRT1,2
SP1,SP3,0
SP1,VDR,2
SP1,WT1,0
SP1,YY1,0
SP2,MMP9,1
SP3,BIRC5,2
SP3,ERBB2,0
SP3,ID4,1
SP3,MYCN,0
SP3,YY1,0
SP4,BIRC5,2
SP4,ERBB2,0
SP4,NFKB1,0
SP4,RELA,0
SP4,YY1,0
SPDEF,MMP9,1
SRF,FOS,0
SRF,FOS,2
SRF,FOS,0
SRF,FOS,2
SRF,MMP9,2
SRF,SERPINE1,1
SRF,CREB1,1
STAT1,MMP9,1
STAT1,MUC1,0
STAT1,IRF1,0
STAT1,IRF1,1
STAT1,IRF1,2
STAT1,PPARA,0
STAT1,SMARCA4,2
STAT1,STAT3,2
STAT3,BCL2,0
STAT3,BCL2,1
STAT3,BCL2,2
STAT3,BIRC5,0
STAT3,BIRC5,2
STAT3,MMP9,1
STAT3,MUC1,0
STAT3,ESR2,0
STAT3,IRF1,0
STAT3,IRF1,2
STAT3,PIAS3,0
STAT3,PPARA,0
STAT3,TWIST1,0
STAT3,TWIST2,2
STAT5B,ESR1,2
STAT5B,ESR1,2
STAT5B,ESR2,2
STAT6,STAT1,1
TBP,BCL2,1
TBP,MYC,2
TBP,NF1,1
TCF4,BCL2,2
TCF4,BIRC5,2
TCF4,KLF4,2
TCF4,MITF,1
TCF4,MYC,0
TCF4,MYC,2
TCF7L2,BIRC5,0
TCF7L2,SNAI2,2
TCF7L2,STAT3,2
TFAP2A,BCL2,1
TFAP2A,ERBB2,2
TFAP2A,KRT5,0
TFAP2A,MMP9,0
TFAP2A,MMP9,1
TFAP2B,ERBB2,2
TFAP2C,ERBB2,2
TFAP2C,ESR1,0
TFAP2C,ESR1,0
TGIF1,SERPINE1,1
TP53,BCL2,1
TP53,BCL2,2
TP53,BIRC5,1
TP53,BIRC5,2
TP53,DDB2,0
TP53,DDB2,2
TP53,ELF4,2
TP53,HSF1,2
TP53,MYC,1
TP53,MYC,2
TP53,NFKB1,2
TP53,NKX3-1,1
TP53,PAX5,0
TP53,PIAS3,1
TP53,RB1,2
TP53,RELA,2
